percentige,rating
0.0, 1.0
0.01, 3.0
0.02, 3.6
0.03, 4.0
0.04, 4.3
0.05, 4.5
0.06, 4.7
0.07, 4.8
0.08, 5.0
0.09, 5.1
0.1, 5.2
0.11, 5.3
0.12, 5.4
0.13, 5.5
0.14, 5.6
0.15, 5.6
0.16, 5.7
0.17, 5.8
0.18, 5.8
0.19, 5.9
0.2, 6.0
0.21, 6.0
0.22, 6.1
0.23, 6.1
0.24, 6.2
0.25, 6.2
0.26, 6.3
0.27, 6.3
0.28, 6.3
0.29, 6.4
0.3, 6.4
0.31, 6.5
0.32, 6.5
0.33, 6.5
0.34, 6.6
0.35, 6.6
0.36, 6.6
0.37, 6.7
0.38, 6.7
0.39, 6.8
0.4, 6.8
0.41, 6.8
0.42, 6.9
0.43, 6.9
0.44, 6.9
0.45, 7.0
0.46, 7.0
0.47, 7.0
0.48, 7.1
0.49, 7.1
0.5, 7.1
0.51, 7.2
0.52, 7.2
0.53, 7.2
0.54, 7.3
0.55, 7.3
0.56, 7.3
0.57, 7.3
0.58, 7.4
0.59, 7.4
0.6, 7.4
0.61, 7.5
0.62, 7.5
0.63, 7.5
0.64, 7.6
0.65, 7.6
0.66, 7.6
0.67, 7.7
0.68, 7.7
0.69, 7.8
0.7, 7.8
0.71, 7.8
0.72, 7.9
0.73, 7.9
0.74, 7.9
0.75, 8.0
0.76, 8.0
0.77, 8.0
0.78, 8.1
0.79, 8.1
0.8, 8.1
0.81, 8.2
0.82, 8.2
0.83, 8.3
0.84, 8.3
0.85, 8.3
0.86, 8.4
0.87, 8.4
0.88, 8.5
0.89, 8.5
0.9, 8.6
0.91, 8.6
0.92, 8.7
0.93, 8.8
0.94, 8.8
0.95, 8.9
0.96, 9.0
0.97, 9.1
0.98, 9.2
0.99, 9.4
1.0, 10.0
